colour,id,dayofweek-month-dayofmonth,daynumber,unixtimeint,hour
#754E4E,1152767757935226456_1684759138,FriJan1,1,1451640647,01
#1B1818,1152767766617361704_568584066,FriJan1,1,1451640648,01
#4C4949,1152767795514845721_8597825,FriJan1,1,1451640651,01
#5C4949,1152767914917915954_2246712458,FriJan1,1,1451640665,01
#4A4141,1152767969570071334_9642823,FriJan1,1,1451640672,01
#181F1F,1152767991975410552_376327205,FriJan1,1,1451640675,01
#2F1818,1152768028123091311_1399473347,FriJan1,1,1451640679,01
#786060,1152768064623527542_2221069912,FriJan1,1,1451640683,01
#230F0F,1152768074722751422_493099267,FriJan1,1,1451640684,01
#AC8080,1152768076598699031_11641240,FriJan1,1,1451640685,01
#D2A7A7,1152768110876736911_19768374,FriJan1,1,1451640689,01
#724848,1152768159037167966_180369773,FriJan1,1,1451640694,01
#958888,1152768213923313017_293699268,FriJan1,1,1451640701,01
#5D5353,1152768295133482922_14014322,FriJan1,1,1451640711,01
#151010,1152768352434762345_1770663051,FriJan1,1,1451640718,01
#424545,1152768599317177864_235820408,FriJan1,1,1451640747,01
#440909,1152768612344684301_20760406,FriJan1,1,1451640748,01
#060909,1152768628653497372_41526734,FriJan1,1,1451640750,01
#151111,1152768753543945973_469037566,FriJan1,1,1451640765,01
#814A4A,1152768878331765465_294576479,FriJan1,1,1451640780,01
#775050,1152768992577062704_1926457304,FriJan1,1,1451640794,01
#464646,1152769245332379613_1415516,FriJan1,1,1451640824,01
#3D2020,1152769301405875460_216264462,FriJan1,1,1451640831,01
#5B2F2F,1152769340964581097_488222538,FriJan1,1,1451640835,01
#5A4545,1152769385300050044_47254175,FriJan1,1,1451640841,01
#352323,1152769433484221005_38039181,FriJan1,1,1451640846,01
#362D2D,1152769459791176377_2200594455,FriJan1,1,1451640849,01
#341A1A,1152769563281174232_239929202,FriJan1,1,1451640862,01
#4B3535,1152769583378652376_2089047614,FriJan1,1,1451640864,01
#767474,1152769664102576733_30972955,FriJan1,1,1451640874,01
#110E0E,1152769779679875379_214827035,FriJan1,1,1451640888,01
#7A7676,1152769786911279676_1168257449,FriJan1,1,1451640889,01
#5F4646,1152769844123199159_315599024,FriJan1,1,1451640895,01
#492828,1152769838100011279_14133861,FriJan1,1,1451640895,01
#5C3F3F,1152769914837373653_420937275,FriJan1,1,1451640904,01
#3B2E2E,1152769978634366523_1441628866,FriJan1,1,1451640911,01
#181010,1152770104494507845_18816392,FriJan1,1,1451640926,01
#454848,1152770162417570203_493286123,FriJan1,1,1451640933,01
#242424,1152770176797079791_564497525,FriJan1,1,1451640935,01
#211111,1152770198364077208_1549642414,FriJan1,1,1451640938,01
#4A2727,1152770256304033137_2223817258,FriJan1,1,1451640944,01
#414F4F,1152770314359477499_2229110196,FriJan1,1,1451640951,01
#1C2E2E,1152770354567490785_681578,FriJan1,1,1451640956,01
#4C3232,1152770360222473453_2089047614,FriJan1,1,1451640957,01
#1D1B1B,1152770630023194019_2287935584,FriJan1,1,1451640989,01
#1A1515,1152770639261926902_1170983392,FriJan1,1,1451640990,01
#5E5D5D,1152770721183353354_615331713,FriJan1,1,1451641000,01
#6A6666,1152770742509887172_281144342,FriJan1,1,1451641002,01
#C57979,1152770737048703450_188484147,FriJan1,1,1451641002,01
